#Frame      Mode1    Mode2    Mode3
     699   22.480   -7.140  -13.947
     700   24.633    0.460  -18.423
     701   25.381   -1.507  -21.878
     702   25.850   -1.530  -18.045
     703   25.233   -1.132  -20.058
     704   27.386   -1.617  -13.012
     705   28.585   -0.773  -19.792
     706   26.407   -2.586  -24.386
     707   24.500    2.599  -26.888
     708   23.416    4.883  -21.696
     709   22.366    0.077  -21.318
     710   23.522   -1.176  -25.850
     711   24.759   -3.090  -21.392
     712   26.385    2.263  -23.978
     713   23.919   -3.746  -24.967
     714   21.826   -7.036  -18.401
     715   25.586   -1.790  -17.949
     716   19.747   -1.040  -18.202
     717   14.904   -7.049  -18.884
     718   19.627   -2.285  -22.877
     719   23.985   -0.481  -24.759
     720   27.859    0.920  -26.272
     721   24.214   -6.086  -21.300
     722   19.536   -6.252  -16.070
     723   18.524   -4.031  -19.433
     724   16.828   -8.415  -16.009
     725   18.591   -4.392  -12.655
     726   23.043   -3.168  -19.752
     727   28.423    1.049  -24.871
     728   27.294    3.065  -26.338
     729   27.173    4.325  -26.383
     730   29.452    4.717  -27.089
     731   30.102    4.234  -33.146
     732   28.868   -0.506  -29.011
     733   33.923    8.480  -32.038
     734   30.099    1.740  -28.464
     735   30.215    6.898  -35.583
     736   29.988    6.017  -35.897
     737   30.489    4.115  -40.409
     738   28.497    7.803  -34.015
     739   29.207    6.422  -34.596
     740   30.672    6.809  -24.527
     741   30.948    7.563  -27.578
     742   28.597    9.731  -21.309
     743   30.936    7.148  -23.174
     744   26.401    7.763  -24.434
     745   28.107    8.633  -26.288
     746   26.647    8.057  -25.012
     747   29.558   11.187  -26.173
     748   31.122    8.419  -30.875
     749   29.618    2.759  -25.663
     750   28.298    1.659  -18.511
     751   29.396    2.489  -19.638
     752   31.042   -0.241  -22.255
     753   25.238   -2.567  -20.160
     754   25.433   -3.677  -24.382
     755   25.680   -0.621  -28.450
     756   25.844   -2.395  -24.877
     757   20.249  -10.236  -26.394
     758   24.651    0.714  -28.006
     759   19.777   -5.546  -24.671
     760   20.647   -8.410  -21.748
     761   19.396   -6.334  -19.410
     762   18.351   -3.107  -16.323
     763   17.121   -1.581  -17.850
     764   20.417   -2.781  -21.649
     765   20.550   -0.463  -18.918
     766   23.439    3.260  -26.821
     767   21.742    6.119  -26.435
     768   25.414    4.231  -29.649
     769   24.245    2.416  -21.320
     770   23.312    0.984  -26.673
     771   24.156    2.079  -27.574
     772   26.714    4.218  -27.814
     773   22.652    1.319  -25.538
     774   21.436   -1.532  -26.914
     775   26.473   -0.615  -23.945
     776   21.936   -1.637  -24.715
     777   25.447    1.709  -29.085
     778   26.124    1.377  -24.294
     779   26.428    6.880  -25.376
     780   28.127    5.753  -26.826
     781   28.334    3.062  -17.975
     782   20.853    0.343  -17.420
     783   24.507   -0.101  -16.859
     784   28.396    0.756  -20.579
     785   24.477   -0.541  -25.496
     786   27.280   -0.867  -28.730
     787   33.567    6.022  -29.069
     788   31.006    5.100  -27.076
     789   27.956    7.006  -28.381
     790   31.959    7.943  -34.000
     791   31.330    9.842  -35.442
     792   30.645    6.633  -29.613
     793   29.798   10.566  -36.196
     794   28.926   12.977  -35.870
     795   29.250   13.901  -45.070
     796   33.015   10.319  -41.647
     797   33.531   14.498  -34.311
     798   31.405    9.388  -34.113
     799   31.867   10.336  -32.043
     800   33.495    9.315  -31.772
     801   31.707    6.984  -35.522
     802   30.426    6.323  -32.153
     803   29.030    4.404  -30.698
     804   27.081    3.007  -27.976
     805   27.577    4.890  -30.667
     806   23.156    4.928  -27.628
     807   20.666    2.670  -30.643
     808   16.309    0.502  -29.010
     809   19.908    8.322  -32.652
     810   19.550    7.197  -34.866
     811   19.132   10.483  -34.922
     812   21.985   10.790  -32.532
     813   20.668    6.488  -32.683
     814   23.157   10.438  -27.037
     815   19.018    2.742  -21.191
     816   18.107   -7.281  -21.734
     817   23.412    5.422  -23.017
     818   23.083    6.129  -28.652
     819   22.613    6.958  -29.495
     820   26.261   11.264  -32.966
     821   26.141   11.683  -30.978
     822   25.049    8.891  -31.175
     823   26.630    6.936  -27.815
     824   26.883   -0.014  -30.263
     825   23.641   -5.375  -31.376
     826   23.325   -2.958  -27.255
     827   28.904    3.822  -31.391
     828   21.977    1.380  -33.285
     829   26.316    6.236  -35.291
     830   27.452    5.558  -35.128
     831   21.503    2.139  -29.875
     832   21.616    1.769  -27.660
     833   22.684    2.463  -33.272
     834   23.726   -4.447  -27.398
     835   23.033    0.335  -34.332
     836   27.030   -0.410  -35.228
     837   21.187   -1.979  -29.555
     838   24.931    1.452  -29.762
     839   31.734    0.275  -29.356
     840   30.054    5.418  -29.727
     841   32.370    4.094  -31.790
     842   28.604    6.178  -34.743
     843   32.648   11.250  -32.412
     844   29.775   10.457  -37.664
     845   29.551   11.022  -36.546
     846   26.056    8.890  -29.530
